"Site_ID","Latitude","Longtiude","Aster.spp.","Cyanus.segetum.Hill.bachelors.button","Ocimum.basilicum.L.","Beta.vulgaris.L.","Rudbeckia.hirta.L.","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Phaseolus.coccineus.L..bush.bean","Dendranthema.grandiflorum..Ramat...Kitam.","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Daucus.carota.subsp..sativus..Hoffm...Arcang.","Coriandrum.sativum.L.","Portulaca.oleracea.L.","Cosmos.bipinnatus.Cav.","Crocosmia.spp.","Cucumis.sativus.L.","Sinapis.alba.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Cucurbita.pepo.L..delicata","Anethum.graveolens.L.","Solanum.melongena.L.","Vicia.faba.L.","Convolvulus.arvensis.L.","Hypochaeris.radicata.L.","Gladiolus.alatus.L.","Solanum.sarrachoides.Sendtn.","Lamium.amplexicaule.L.","Alcea.rosea.L.","Reynoutria.japonica.Houtt.","Lavandula.spp.","Lactuca.sativa.L.","Lobelia.spp.","Tagetes.erecta.L.","Brassica.rapa.var..nipposinica..Bailey..Hanelt","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Abelmoschus.esculentus..L...Moench","Allium.cepa.L.","Pastinaca.sativa.L.","Cucurbita.pepo.L..patty.pan","Pisum.sativum.L.","Capsicum.annuum.L.","Phacelia.tanacetifolia.Benth.","Amaranthus.spp.","Phaseolus.coccineus.L..pole.bean","Solanum.tuberosum.L.","Sonchus.asper..L...Hill","Cucurbita.pepo.L..pumpkin","Aster.sp..purple","Echinacea.purpurea..L...Moench","Raphanus.raphanistrum.subsp..sativus..L...Domin","Rubus.idaeus.L.","Amaranthus.retroflexus.L.","Phaseolus.coccineus.L..scarlet.runner.bean","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Sonchus.spp..L.","Cucurbita.spp.","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Helianthus.annuus.L.","Physalis.philadelphica.Lam.","Citrullus.lanatus..Thunb...Matsum....Nakai","Trifolium.repens.L.","Sinapis.arvensis.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_5",47.057,-122.97,0,0,6,9,0,0,0,0,364,0,29,0,0,17,0,0,0,2,1,0,2,0,27,0,11,1,34,0,8,6,0,0,0,54,18,4,0,15,0,0,423,0,0,77,70,22,22,0,6,0,4,0,0,6,0,0,0,31,124,2,0,19,44,0,0,86,65,0,49
"site_7",47.063,-122.926,0,21,0,0,27,1,3,0,286,0,30,1,194,251,112,30,0,41,3,88,0,0,10,14,0,0,39,41,0,6,0,0,0,0,0,0,17,0,0,0,210,0,1,0,13,0,82,0,18,0,3,5,4,24,80,0,0,34,362,8,19,30,124,0,0,42,4,524,1
"site_9",46.801,-123.145,33,0,0,0,0,0,0,1,22,6,0,0,4,6,0,0,0,25,0,0,5,0,81,14,45,13,4,40,753,44,0,0,20,0,0,0,0,0,0,0,0,0,0,6,0,0,30,0,84,0,0,0,0,4,0,0,0,30,166,122,0,17,4,13,0,81,27,25,11
"site_12",47.056,-122.96,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,45,0,2,1,0,31,0,0,0,42,0,74,13,0,0,0,0,0,2,22,0,0,0,0,0,0,46,0,3,0,142,0,70,36,0,0,0,0,3,0,135,190,4,200,12,0,15,0,7,1,3,0
"site_17",46.874,-122.901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,313,0,8,3,0,0,0,0,0,0,0,7,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,25,0,0,19,8,100,216,0,0,4,7,0,509,0,0,11
"site_19",47.039,-122.886,0,0,0,0,0,54,0,0,138,0,4,4,0,20,0,0,1,8,1,4,1,7,0,1,0,6,0,6,0,0,13,0,2,0,0,0,0,0,48,0,0,0,0,6,0,3,0,2,15,0,0,0,0,2,0,0,30,3,49,4,36,8,23,0,0,7,0,2,0
"site_21",47.05,-122.71,0,16,50,0,0,0,86,0,0,0,3,0,0,3,224,5,0,93,0,0,5,0,52,13,0,0,20,0,0,443,0,0,0,0,2,6,0,0,0,7,0,0,40,0,18,0,30,527,15,0,884,0,0,0,35,0,0,179,2,107,340,495,46,1,0,30,0,2,40
"site_25",46.801,-123.159,0,0,0,0,0,0,0,10830,1508,0,0,0,0,0,34,0,0,1280,0,0,0,0,265,129,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,320,162,187,0,0,0,540,363,0,0,0,170,0,22,0,68,230,104,160,0,0,0,91,0,16,0,0
"site_34",47.049,-122.872,0,0,3,42,0,20,16,916,0,0,9,4,27,10,6,0,0,10,0,0,0,0,18,0,0,0,14,0,0,0,0,0,0,9,0,0,0,0,48,0,0,30,0,0,30,0,1,26,9,0,0,0,0,7,24,0,0,0,2,0,25,15,16,0,0,42,0,0,3
"site_36",46.807,-123.11,0,0,124,71,0,0,0,4,646,0,0,0,0,54,0,0,0,1725,0,0,0,0,1521,82,0,12,37,0,3,0,0,7,0,41,0,0,0,2,0,0,0,0,0,0,138,0,33,0,30,0,0,0,0,0,0,0,0,14,102,306,0,0,0,0,0,8,0,0,437
