"Site_ID","Latitude","Longtiude","Allium.spp..L","Eruca.vesicaria..L...Cav.","Aster.spp.","Cyanus.segetum.Hill.bachelors.button","Ocimum.basilicum.L.","Beta.vulgaris.L.","Rudbeckia.hirta.L.","Borago.officinalis.L.","Brassica.oleracea.var..italica.Plenck","Fagopyrum.esculentum.Moench","Phaseolus.coccineus.L..bush.bean","Cucurbita.moschata.Duchesne.butternut.squash","Brassica.oleracea.L..cabbage","Calendula.officinalis.L.","Eschscholzia.californica.Cham.","Daucus.carota.subsp..sativus..Hoffm...Arcang.","Nepeta.spp..L.","Coriandrum.sativum.L.","Symphytum.officinale.L.","Sonchus.oleraceus..L...L.","Zea.mays.L.","Spergula.arvensis.L.","Cosmos.bipinnatus.Cav.","Crocosmia.spp.","Cucumis.sativus.L.","Dahlia.pinnata.Cav.","Taraxacum.officinale.F.H..Wigg.","Cucurbita.pepo.L..delicata","Delphinium.spp..L.","Anethum.graveolens.L.","Vicia.faba.L.","Convolvulus.arvensis.L.","Hypochaeris.radicata.L.","Galinsoga.parviflora.Cav.","Allium.sativum.L.","Solanum.sarrachoides.Sendtn.","Prunella.vulgaris.L.","Lamium.amplexicaule.L.","Alcea.rosea.L.","Lavandula.spp.","Lactuca.sativa.L.","Lobelia.spp.","Tagetes.erecta.L.","Plantago.lanceolata.L.","Tropaeolum.majus.L.","Abelmoschus.esculentus..L...Moench","Allium.cepa.L.","Pilosella.aurantiaca..L...F.W.Schultz...Sch.Bip.","Pastinaca.sativa.L.","Cucurbita.pepo.L..patty.pan","Phacelia.tanacetifolia.Benth.","Amaranthus.spp.","Matricaria.discoidea.DC.","Solanum.tuberosum.L.","Cucurbita.pepo.L..pumpkin","Raphanus.raphanistrum.subsp..sativus..L...Domin","Rubus.idaeus.L.","Trifolium.pratense.L.","Amaranthus.retroflexus.L.","Rosa.spp..L.","Phaseolus.coccineus.L..scarlet.runner.bean","Capsella.bursa.pastoris..L...Medik.","Persicaria.maculosa.Gray","Sonchus.spp..L.","Cucurbita.spp.","Fragaria x ananassa (Duchesne ex Weston) Duchesne ex Rozier","Helianthus.annuus.L.","Physalis.philadelphica.Lam.","Solanum.lycopersicum.L.","Vicia.villosa.Roth","Citrullus.lanatus..Thunb...Matsum....Nakai","Trifolium.repens.L.","Daucus.carota.L.","Sinapis.arvensis.L.","Zinnia.elegans.L.","Cucurbita.pepo.L..zucchini"
"site_5",47.057,-122.97,0,0,0,0,6,9,0,0,0,0,364,0,15,29,0,0,0,17,6,0,0,0,0,0,2,0,2,0,0,27,11,1,34,0,210,8,0,6,0,0,54,18,4,15,0,0,423,0,0,0,22,22,0,6,4,6,0,0,0,0,0,31,124,2,0,19,44,0,200,6,0,86,0,65,0,49
"site_7",47.063,-122.926,0,0,0,21,0,0,27,1,3,0,286,0,0,30,1,194,0,251,0,0,58,13,30,0,41,88,0,0,0,10,0,0,39,0,0,0,0,6,0,0,0,0,0,0,0,0,210,0,0,1,0,82,0,18,3,24,80,0,0,0,0,34,362,8,19,30,124,0,41,8,0,42,0,4,524,1
"site_9",46.801,-123.145,0,2,33,0,0,0,0,0,0,1,22,0,0,0,0,4,0,6,0,16,0,0,0,0,25,0,5,0,0,81,45,13,4,71,0,753,0,44,0,20,0,0,0,0,0,0,0,0,0,0,0,30,0,84,0,4,0,8,0,0,0,30,166,122,0,17,4,13,27,0,0,81,1,27,25,11
"site_12",47.056,-122.96,0,15,6,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,4,45,2,1,0,0,31,0,0,42,0,0,74,13,13,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,36,0,0,2,3,0,0,135,190,4,200,12,0,15,64,5,0,7,0,1,3,0
"site_17",46.874,-122.901,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,313,0,0,8,31,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,19,8,100,216,0,0,4,7,88,0,0,509,3,0,0,11
"site_19",47.039,-122.886,1,10,0,0,0,0,0,54,0,0,138,6,0,4,4,0,1,20,28,0,0,0,0,1,8,4,1,7,0,0,0,6,0,0,0,0,0,0,13,2,0,0,0,0,48,0,0,10,0,0,3,0,0,15,0,2,0,4,0,2,30,3,49,4,36,8,23,0,22,0,0,7,0,0,2,0
"site_21",47.05,-122.71,173,0,0,16,50,0,0,0,86,0,0,0,0,3,0,0,0,3,0,0,0,0,5,0,93,0,5,0,3,52,0,0,20,0,0,0,0,443,0,0,0,2,6,0,0,7,0,0,0,40,0,30,0,15,884,0,35,0,0,0,0,179,2,107,340,495,46,1,34,0,0,30,0,0,2,40
"site_25",46.801,-123.159,0,0,0,0,0,0,0,0,0,10830,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,1280,0,0,0,0,265,0,0,0,0,0,108,40,0,0,0,0,0,0,0,0,0,0,0,0,320,0,0,29,540,0,170,0,1,22,0,0,68,230,104,160,0,0,0,358,28,91,0,100,16,0,0
"site_34",47.049,-122.872,0,0,0,0,3,42,0,20,16,916,0,0,10,9,4,27,0,10,0,0,0,0,0,0,10,0,0,0,0,18,0,0,14,0,0,0,0,0,0,0,9,0,0,0,48,0,0,0,30,0,0,1,0,9,0,7,24,1,0,0,0,0,2,0,25,15,16,0,52,0,0,42,0,0,0,3
"site_36",46.807,-123.11,0,0,0,0,124,71,0,0,0,4,646,0,0,0,0,0,0,54,0,0,25,0,0,0,1725,0,0,0,0,1521,0,12,37,0,0,3,2,0,0,0,41,0,0,2,0,0,0,0,0,0,0,33,0,30,0,0,0,2,0,0,0,14,102,306,0,0,0,0,264,207,0,8,85,0,0,437
